ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
790.3,0.6739,76930000,5.122,1549,5.586,2213,1.65,4885,1.346,488900,0.2253,19.95,0.5244
610.7,0.6954,687700000,5.384,1536,5.241,2942,1.438,2496,1.561,124500,0.2996,26.31,0.7213
664.8,0.6503,906900,2.384,1536,5.241,2504,1.573,3142,1.56,1200000,0.1877,12.87,0.4863
713.4,0.6467,95520000,8.71,1599,4.749,2889,1.198,2923,1.561,1502000,0.2055,21.75,0.557
667.3,0.6658,1.62E+09,6.818,1547,5.052,3561,1.183,13310,0.7539,3951000,0.1952,20.38,0.6481
797.8,0.6139,4.53E+08,6.097,1893,4.788,4551,1.069,5155,0.9562,13290000,0.1755,12.55,0.7216
774.9,0.6544,960400,2.455,1893,4.788,7164,0.9225,4876,0.9631,5337000,0.1821,12.22,0.5755
726.7,0.6499,2.95E+09,9.735,1432,5.381,10390,0.7467,13430,0.7087,91630,0.2954,14.81,0.7181
735.1,0.6268,1277000,2.118,2191,3.807,1190,4.383,13210,0.6498,246400,0.2572,13.99,0.9379
635,0.7452,1.34E+09,1.809,2191,3.807,1294,3.87,10300,0.7876,123400,0.3633,14.02,0.9767
662.2,0.6892,36950000,3.028,2191,3.807,1258,4.084,85030,0.4083,326100,0.2485,24.89,0.7142
757.4,0.7042,65390,9.427,2471,2.918,1433,3.547,48520,0.4823,108700,0.2597,15.44,0.6151
710.3,0.6787,9.09E+09,1.489,2387,3.42,1919,2.197,8365,0.9481,123300,0.29,33.59,0.7624
647,0.6354,551600000,4.667,2387,3.42,2765,1.773,18310,0.6636,32540,0.3528,16.45,0.5529
636.5,0.658,5270,3.919,1714,4.086,2701,1.38,4138,1.054,153700,0.2984,12.39,0.5061
676.3,0.6851,2.31E+09,5.378,1908,4.274,2034,1.997,6224,0.9278,390100,0.2384,12.15,0.5609
720.8,0.6653,60960000,7.134,1908,4.274,1298,3.743,54590,0.4809,50060,0.2885,29.63,0.7069
677.7,0.6899,1.16E+09,2.441,2685,3.424,1106,5.92,43960,0.4845,448900,0.2356,19.69,0.6117
633.5,0.6957,762200,4.828,2473,2.742,1120,5.352,13500,0.6701,8910000,0.1753,19.35,0.5205
667.1,0.6714,169300,1.343,1726,4.708,1287,3.83,18350,0.6551,43420,0.357,12.62,0.584
745.4,0.6284,1861000,7.414,1720,4.359,2184,2.03,9529,0.6971,100100,0.2925,13.32,0.6822
675.1,0.6884,1.68E+09,1.05,1720,4.359,1995,1.943,15540,0.6902,113700,0.2612,24.33,0.7782
649.7,0.6291,834800,7.475,1720,4.359,1492,2.561,32680,0.4951,515300,0.2406,25,0.6508
680.3,0.6625,1192000,2.799,1720,4.359,1553,2.98,26480,0.5683,632100,0.2515,16.09,0.698
750.2,0.6456,18340,7.934,2025,3.994,1070,7.119,19720,0.6161,18650,0.4155,13.86,0.5074
703.3,0.6515,4549000,4.454,2428,3.625,4326,0.862,18620,0.5869,207700,0.2318,17.54,0.6442
620.2,0.7209,67350,1.169,2116,3.635,4574,0.8881,26080,0.5804,58820,0.269,13.88,0.5732
700.2,0.6912,3084000,5.256,2116,3.635,5063,1.163,16530,0.6068,106900,0.3098,15.19,0.4553
712.4,0.6559,16870,3.525,2116,3.635,1464,2.998,19920,0.575,45360,0.3236,17.49,0.5201
724.8,0.6505,23460,6.139,2116,3.635,1277,3.999,309100,0.3468,2303000,0.176,26.65,0.6215
595.8,0.6721,2631000,5.926,2389,3.547,2152,1.764,20380,0.5658,182400,0.2409,22.57,0.7548
660.9,0.7202,46760,3.698,2700,2.813,1585,2.766,17710,0.6934,77560,0.295,23.19,0.7095
672.6,0.6999,8207,7.609,2078,3.517,1169,4.841,7078,0.9276,603800,0.2299,26.38,0.7454
713.9,0.6474,9.67E+09,1.285,1858,3.941,2405,1.52,36930,0.5536,1583000,0.1866,18.89,0.4437
728,0.663,4486000,6.494,2109,3.859,3183,1.256,137200,0.3971,1891000,0.2213,21.24,0.579
659.8,0.6987,1.73E+09,9.133,3306000,0.4132,2578,1.595,176700,0.3607,267300,0.2722,18.82,0.5161
721.4,0.6556,1.73E+09,9.133,3306000,0.4132,1907,1.848,29860,0.5584,1926000,0.2146,15.47,0.6341
695.9,0.6348,9051000,8.91,3306000,0.4132,1234,4.664,3357,1.29,2168000,0.1837,14.91,0.5009
729.9,0.6219,1.61E+09,0.582,1559000,0.4695,1496,2.725,2807,1.514,40750,0.3139,17.33,0.5721
707.5,0.6519,80510000,0.3465,16780,1.1,1740,2.286,3331,1.428,40750,0.3139,24.83,0.5775
645.5,0.6591,1.17E+09,0.4889,16780,1.1,1457,3.185,2180,1.766,2065000,0.2038,17.82,0.4921
649.3,0.63,267900000,0.9172,228000,0.5217,1583,2.826,2870,1.66,1192000,0.2202,16.88,0.3823
607.8,0.6658,16620000,3.411,214800,0.5395,4485,1.064,2729,1.651,962300,0.1991,18.09,0.6353
613.1,0.6751,18250,7.996,1894000,0.3577,2651,1.412,2911,1.607,85040,0.2788,18.5,0.7577
610.1,0.7631,5188,2.828,16570000,0.3886,1340,3.309,2733,1.598,69530000,0.1516,16.37,0.5385
721.7,0.6004,394400,3.828,11650,1.176,10510,0.6783,2619,1.537,55090000,0.1526,17.25,0.6467
795.3,0.6431,6667000,7.502,11650,1.176,8173,0.962,3600,1.387,181300,0.2643,20.78,0.6498
755.4,0.6057,17420000,1.047,146800,0.7301,8019,0.8783,47070,0.5253,14500,0.4342,21.93,0.6144
686.6,0.6993,183600,4.909,99190,0.7157,7564,0.9012,67310,0.486,201500,0.2338,16.9,0.8153
707.4,0.602,24820,1.356,396200,0.5145,7564,0.9012,19080,0.6136,2372000,0.1824,17.73,0.6723
758.8,0.6246,23540,2.345,337500,0.561,7564,0.9012,25680,0.5821,42680,0.3524,24.24,0.5377
723.4,0.7049,274600000,0.4608,788600,0.4877,5211,1.159,3879,1.257,31700,0.3766,10.79,0.5396
728.3,0.5902,3.67E+09,5.921,1043000,0.5018,4228,0.9231,5293,0.9892,26710,0.3755,20.3,0.5229
770.2,0.6203,25490000,4.603,1043000,0.5018,1761,2.297,6891,0.9062,4836000,0.1778,15.59,0.4906
669.6,0.6848,39590000,6.859,866500,0.6056,1134,4.744,29680,0.5887,124200,0.2759,19.03,0.4925
770.1,0.6339,2999,5.933,105800000,0.3698,1185,5.072,28260,0.5202,781100,0.2375,13.54,0.4805
703.3,0.7154,469100000,2.937,276700000,0.2697,1037,6.571,5507,1.044,29720000,0.1603,25.19,0.5917
744.2,0.6549,4321000,4.139,276700000,0.2697,1100,6.241,7772,0.9231,91470,0.3133,18.65,0.6448
696.3,0.6669,23040000,0.4514,252100000,0.2771,1036,6.456,12430,0.6533,177700,0.2576,16.46,0.5037
709.2,0.6636,183900,3.008,252100000,0.2771,1191,4.99,23520,0.5788,160700,0.2509,18.05,0.5651
690,0.6137,101600,1.706,8.80E+09,0.2227,1588,2.637,7804,0.9171,5702000,0.1635,17.05,0.5113
757.8,0.6386,5.77E+09,8.333,8.80E+09,0.2227,1428,3.038,13060,0.7831,2123000,0.2211,20.91,0.4771
601.4,0.7007,2.10E+09,9.263,1.72E+09,0.3061,1307,3.865,41080,0.4908,134700,0.3508,26.89,0.4956
780.7,0.6191,21610,7.102,611600000,0.2352,1172,5.358,17870,0.583,23770,0.3615,14.86,0.5507
731.7,0.6,48100000,5.34,7009,1.465,1698,2.201,11190,0.6954,2581000,0.2063,20.06,0.5132
653.7,0.7239,581000,7.033,33790,0.8917,1217,3.83,6504,0.9053,136800,0.2211,15.72,0.4865
743.2,0.6715,39770000,7.294,8966,1.427,1309,3.797,8254,0.9262,166200,0.2751,16.42,0.6351
682.5,0.69,374800000,9.624,8068,1.375,1309,3.797,5315,0.9116,591100,0.2236,18.99,0.6854
629.9,0.6454,33640,9.139,48140,0.733,1633,2.536,14440,0.7218,60760,0.3234,15.03,0.5872
752.4,0.6347,203800,6.598,2.04E+09,0.2713,2622,1.519,14730,0.6492,172900,0.2475,21.98,0.506
