ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
111,0.876,95160000,6.58,1087000,3.758,99890,0.7348,23690,0.6667,7608000,0.3148,7334,0.8147
157.4,1.056,9.61E+09,9.208,40340000,4.281,68190,0.8999,17490,0.6905,18280000,0.2582,7471,0.7062
107.4,0.9213,80320000,6.287,567300000,7.395,50020,1.298,22640,0.6245,1.01E+09,0.2136,6027,0.9803
86.73,0.6309,59960,3.472,1.76E+09,6.323,100900,0.7204,20690,0.5759,804100000,0.2156,6257,0.8871
101.7,0.7411,6.02E+08,0.1954,29780000,3.773,106200,0.6914,20600,0.6962,1.34E+09,0.183,8140,0.7103
133.3,0.7516,6.02E+08,0.1954,3.63E+09,4.298,29450,1.566,30780,0.6419,109800000,0.2251,6380,0.9002
130.6,0.6404,126100,1.553,2.06E+09,7.643,53510,1.068,17780,0.8777,76670000,0.2323,7134,0.7684
115.9,0.7068,22930,4.489,4.80E+08,9.066,31750,1.711,19790,0.81,190100000,0.2269,5592,0.8586
127.5,0.6024,10030000,7.929,440800000,5.646,35500,1.43,17050,0.7077,515800000,0.2052,7714,1.249
139.1,0.7791,2259000,5.924,1.16E+09,9.153,47830,1.234,19520,0.5895,2.95E+09,0.1561,7758,1.291
159.9,0.6689,7.10E+09,1.093,160300000,7.719,37890,1.279,19130,0.599,718200000,0.1807,7472,0.9721
74.18,0.5862,8.27E+09,0.2619,7359000,4.187,76690,0.937,20510,0.6917,2004000,0.2817,7925,1.006
148,0.554,6.70E+09,0.1642,27220000,8.988,47510,1.306,28090,0.6276,94150000,0.2144,5059,0.8442
149.9,0.7597,1.11E+09,0.9901,1.61E+08,2.426,28260,1.765,21710,0.7144,459400000,0.2011,7744,0.8512
97.35,0.551,1212000,9.469,892500000,6.709,68030,0.855,26250,0.5797,392700000,0.2013,5754,0.7824
108.1,0.7557,4.14E+09,8.944,8.17E+09,3.321,24120,2.389,23720,0.7108,628200000,0.1871,8552,0.8222
96.16,0.7408,16530000,6.173,39080000,7.073,37400,1.523,17870,0.7878,55150000,0.2292,5618,0.7974
116,0.6023,12530000,8.052,77240000,3.749,126400,0.6304,22340,0.6985,6743000,0.3314,5484,0.7778
85.66,0.8701,3641000,5.242,4.10E+09,7.715,116400,0.6898,25070,0.6768,170700000,0.2244,6552,0.8636
138.3,0.8626,1.91E+09,6.899,240100000,3.131,147900,0.6237,21620,0.6846,136400000,0.2288,7005,0.819
117.2,0.5903,3.05E+09,9.232,567900,6.052,521000,0.4704,24990,0.6248,1896000,0.3016,5900,0.8608
100.7,0.8401,21110000,4.269,3947000,8.916,154800,0.6229,23390,0.6586,918800000,0.208,5691,0.7584
153.6,0.5538,226200,7.776,9179000,5.285,118700,0.6916,21910,0.699,1.67E+09,0.1841,5341,0.8361
108,0.6786,29700,2.972,18730000,3.768,130000,0.7799,20330,0.6908,10700000,0.3098,5457,0.7633
103.9,0.8732,45430,2.123,4384000,9.84,105800,0.6962,18200,0.6531,1.09E+09,0.1699,6456,0.6623
115.3,0.8277,10490000,0.5627,1.02E+09,6.688,78800,0.8441,25900,0.6676,2.63E+09,0.1583,7194,0.66
117.2,0.8618,220700,5.56,245500,8.002,132900,0.6833,21420,0.6506,242100000,0.2015,6527,0.8421
169.5,0.7056,321400,1.226,807800,6.594,79490,0.7712,20600,0.7301,20890000,0.248,5732,0.7817
136.1,0.6913,2552000,9.896,2636000,6.493,38720,1.311,15430,0.7721,5.91E+09,0.1644,6997,0.8462
91.87,0.8369,930100,2.021,1.97E+09,7.313,81140,0.8017,23850,0.6474,8.62E+09,0.1584,6501,0.7231
107.8,0.5344,97570,8.195,12330000,7.143,38180,1.214,21890,0.639,6.85E+09,0.1628,5673,0.7484
88.67,0.8836,1.18E+09,8.791,31620000,5.75,68660,0.9633,26380,0.5461,621600000,0.1811,6257,0.7488
97.97,0.6252,83600000,1.054,75120000,8.024,67260,1.001,26370,0.7327,24130000,0.2551,8412,0.889
110.6,0.5535,380500000,0.7283,9386000,6.509,52750,0.9094,17240,0.9139,2.30E+09,0.1677,6447,0.7632
