ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
89.69,0.7018,420600000,0.2978,4.39E+09,5.393,17030,5.322,20050,0.6317,68980000,0.2041,6358,0.9122
94.14,0.4895,420600000,0.2978,53640000,5.173,19320,3.128,19210,0.7724,379700000,0.1931,6210,0.7466
130.5,0.9987,35330000,0.3035,1850000,2.377,18230,3.472,20360,0.736,4200000,0.285,6090,0.6526
110.5,0.8141,11070000,0.4174,577700000,3.757,20240,3.179,18820,0.7802,1.46E+09,0.183,5732,0.6944
83.55,0.8883,3560000,0.4683,1.57E+09,1.243,21710,2.797,21920,0.7052,1103000,0.3728,7426,0.8048
142.9,0.9778,70140000,8.12,62900,9.031,34120,1.385,40800,0.4847,91770000,0.2252,6885,0.8178
115.6,0.6772,172800000,3.709,356200000,4.93,81630,0.8966,42400,0.5338,261200000,0.1889,6673,0.7909
109.6,0.7523,39440,2.562,783600,9.626,39790,1.407,27680,0.5551,3.04E+09,0.2017,6251,0.8193
113.1,0.8585,8.08E+09,2.284,1.01E+08,8.069,43290,1.225,19540,0.8833,3.44E+09,0.1619,7103,0.8432
160.6,0.7883,5.86E+09,0.1597,60600,4.652,64780,0.8337,18660,0.7544,1.01E+09,0.1845,6955,0.8735
120.9,0.6398,566800000,0.2448,182000,6.896,55470,0.9706,21280,0.7083,344300000,0.197,6527,0.9146
110.8,0.5596,7.11E+09,0.2169,313200,9.23,49140,1.167,23360,0.6364,29430000,0.2594,7704,0.7765
111.1,0.733,7.11E+09,0.2169,752500,4.096,64750,0.9542,19810,0.6283,143200000,0.2399,7699,0.7881
76.86,0.6198,7.11E+09,0.2169,339600000,4.709,66640,0.8613,20800,0.7303,219100000,0.1925,5116,0.7343
124.2,0.8159,7.11E+09,0.2169,255100000,5.052,69920,0.8137,20870,0.6399,4372000,0.3275,6215,0.8153
136.7,0.7962,2.06E+09,0.2565,5.54E+09,3.306,73130,0.819,21620,0.6449,178400000,0.2222,6517,0.8654
166.2,0.5497,2.06E+09,0.2565,1248000,8.398,62930,0.9768,23870,0.6526,114100000,0.1969,6778,0.7533
87.19,0.6324,2.06E+09,0.2565,3.42E+09,2.191,27100,1.928,21110,0.5771,796700000,0.1719,6386,0.8477
