ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
527.4,5.466,3.33E+09,4.421,1.67E+09,1.917,9485000,0.307,3.80E+09,1.644,610500,0.2558,19.85,0.5673
6.36E+09,4.759,3866,7.101,6871000,6.389,243100000,0.4375,10790000,3.579,52240000,0.152,10.53,0.6581
5.36E+09,6.108,94790,8.388,184.8,9.689,243100000,0.4375,1616000,7.284,202100,0.2462,12.56,0.5585
245200000,9.224,320.5,3.912,195.4,8.674,7382000,6.56,295300000,6.853,20390,0.3487,11.36,0.7734
2510,9.048,443.2,3.015,195.4,8.674,181800000,6.863,28510000,4.542,99690,0.2581,7.876,0.7628
247500000,1.772,186.6,7.532,2175,3.102,286900,4.172,12060,7.403,1049000,0.1937,15.16,0.5656
51810000,1.963,1939,0.958,46230,8.747,7.34E+09,0.196,2136000,9.964,107500,0.2517,10.28,0.7373
75790000,0.408,66560,0.589,1229,1.688,7.34E+09,0.196,83020000,8.112,1495000,0.2105,15.34,0.6398
181800000,8.682,147600,7.501,1225,2.3,7.34E+09,0.196,9506,7.195,49320,0.2847,7.27,0.429
1808,1.666,354800000,2.269,1.37E+09,7.811,7.34E+09,0.196,345000,2.636,12350,0.3403,14.86,0.5823
50810,7.668,7325000,6.975,205.9,7.921,7.15E+09,1.21,261600000,8.686,192500000,0.1296,8.567,0.6909
13570,2.553,4256,4.442,205.9,7.921,6.78E+09,8.991,44730,8.318,34540,0.3042,20.11,0.5917
17030000,4.902,1700000,8.674,14050000,5.645,24380,0.6839,129100,9.087,20260,0.3285,12.14,0.5335
136900000,7.648,9.15E+09,2.272,5.77E+09,8.376,24380,0.6839,53780,8.317,433600,0.226,8.582,0.5761
11820,8.782,546500,6.617,14380000,4.368,157500000,3.202,150000,3.414,1574000,0.2139,7.861,0.5935
1031,4.117,11130,4.011,350500000,0.2349,1234,1.604,4739000,6.186,17540,0.3364,10.73,0.5673
7322000,1.626,60750000,8.367,350500000,0.2349,1234,1.604,4445,6.621,28310000,0.1411,8.133,0.5947
69370000,5.613,22860,8.84,350500000,0.2349,2369,1.596,1.04E+09,1.232,480300000,0.1528,10,0.6107
7808000,4.201,8875,2.692,224800000,0.2322,11560000,0.3861,384800000,2.739,842000,0.197,16.32,0.5793
272700,7.645,758.6,1.401,193400000,0.4716,29650000,0.2578,3.29E+08,6.237,1721000,0.1906,20.85,0.6443
775.2,8.521,3081,1.203,249700,9.585,67950000,0.3164,876600000,9.191,95810,0.2543,10.14,0.5777
194300000,8.963,60260,2.262,241.2,9.162,329700,5.649,1.37E+08,8.982,5484,0.3099,9.089,0.6559
1375000,4.685,1775,0.8435,96930000,3.916,11550000,9.751,77090000,4.221,22620,0.3214,12.96,0.5035
32080,8.332,4537000,2.588,315900,1.557,8212000,8.762,768500,6.162,1078000,0.1982,10.5,0.7549
62670,6.934,2820,7.437,17430000,6.433,101800000,4.796,795600000,7.179,373600000,0.1412,12.64,0.5508
79600000,5.442,343.1,2.54,156600000,8.24,69260000,0.2839,66110,4.591,1.31E+09,0.1171,11.21,0.5796
343000,2.422,1591000,0.5419,1756,2.466,171900000,0.2499,20960000,9.876,12520000,0.1708,8.386,0.8726
