ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
2383,0.5804,477600,1.521,191400,0.4354,3158,1.135,2181,1.344,9697,3.637,142.3,1.247
4705,0.4208,4493000,3.32,15750,0.9115,4163,0.9167,1822,1.356,10990,2.632,202,1.492
2574,0.8054,7.96E+08,4.96,31330,0.6827,3255,1.001,1876,1.727,23330,2.04,135.1,1.302
2824,0.7709,1.20E+09,1.448,14920,0.9782,2826,1.266,1674,1.468,20100,2.184,190.1,1.131
2525,0.6512,199200000,7.412,18910,0.8816,3229,1.203,1850,1.729,18870,2.131,205.3,1.023
3148,0.5906,117000,7.871,21190,0.7939,2411,1.821,1940,1.335,17070,2.015,204.6,0.7728
2386,0.8394,3.42E+09,5.995,36990,0.6645,2996,1.255,1924,1.477,20000,1.937,192.1,0.8056
3593,0.6584,816500,6.005,11780,1.083,3028,1.232,1697,1.534,69600,1.568,224.1,1.167
2839,0.7613,30120,3.568,29340,0.7847,2876,1.255,1808,1.552,6384,5.733,185,0.6212
3014,0.6066,71380,1.638,26530,0.7667,3491,1.159,1792,1.603,6389,4.689,185.9,0.8367
2725,0.6664,56080000,2.096,19560,0.8062,2744,1.249,1865,1.454,5957,5.022,163.4,1.257
2387,0.6938,113400,7.524,67200,0.5513,3437,0.9572,2274,1.599,9042,3.96,224.6,0.9002
2450,0.854,17070,5.303,11930,1.036,2881,1.157,2055,1.508,8986,3.252,141.2,0.5927
2623,0.6154,12760000,8.487,42080,0.7642,2453,1.48,1705,1.584,22310,1.976,154.4,0.9352
7092,0.3447,2.94E+09,9.901,23650,0.6554,2777,1.375,1850,1.195,22310,1.976,221.3,0.7919
2503,0.7607,121300000,7.155,67360,0.5782,3231,1.03,1946,1.438,22310,1.976,193.3,0.7605
2824,0.7008,5003000,4.415,25080,0.8416,2657,1.525,1648,1.367,22310,1.976,207.7,0.778
2448,0.7543,3264000,6.005,40890,0.619,2390,1.235,1896,1.53,84330,1.167,131.4,0.656
3008,0.6982,1.14E+09,7.135,20150,0.8808,2609,1.557,1797,1.338,34250,1.517,126.3,1.126
2110,0.6344,190600000,7.359,23100,0.8326,3995,1.089,1803,1.484,11940,2.583,145.5,0.9036
2196,0.6454,31270000,5.866,11380,1.012,3074,1.427,1825,1.244,11940,2.583,135.7,1.159
2209,0.7172,3.39E+09,9.176,26830,0.8713,2784,0.9823,1563,1.412,9949,3.348,134,0.8807
4344,0.5027,20820,5.77,42460,0.5992,2547,1.303,1673,1.707,9949,3.348,156.1,1.076
2478,0.7437,16090000,5.182,23160,0.8044,2850,1.414,1728,1.408,7361,4.222,178.9,0.8994
2773,0.7053,16320000,9.026,38860,0.6572,2814,1.472,1751,1.374,7442,3.938,118.2,1.26
2492,0.6634,106300,8.047,289400,0.3772,3194,1.372,1815,1.765,8420,4.081,158.9,1.472
2341,0.8773,3350000,6.083,34480,0.8298,2978,0.9342,1742,1.282,8420,4.081,198.4,0.6565
2827,0.6403,25910,8.068,38080,0.6634,2765,1.097,1823,1.449,7075,4.58,112.5,0.7556
2501,0.8958,3.96E+09,6.72,40450,0.6972,3090,1.374,1838,1.428,5735,5.83,118.9,0.6295
2279,0.7155,15920000,6.202,33080,0.6608,2830,1.26,1719,1.41,5135,7.541,154.3,1.362
3954,0.7341,5.27E+09,5.192,19090,0.8454,2909,0.8852,2020,1.237,4543,8.464,116.1,0.8602
2964,0.586,18430000,0.75,25540,0.7502,4803,0.6108,1838,1.444,4653,8.594,118.4,0.8436
3620,0.5699,7398000,2.35,232800,0.391,3753,1.113,1794,1.252,4814,8.808,151.5,0.9687
2552,0.6513,1.30E+07,4.713,330900,0.357,2817,1.521,1898,1.475,4814,8.808,210.7,0.7456
2537,0.6565,508700000,7.701,18060,0.915,3437,1.235,1682,1.656,4814,8.808,158.3,1.437
4524,0.5472,83580,5.268,92630,0.4925,3736,0.8875,1704,1.418,10030,4.14,203.1,1.368
3091,0.6682,5818000,5.513,17480,0.8063,2331,1.517,1669,1.668,9354,3.428,144.3,0.9306
2922,0.642,2.10E+08,1.399,20110,0.924,3401,0.9515,1944,1.286,11870,3.326,151.2,1.075
1820,0.7279,1384000,8.34,36770,0.5185,2631,1.343,1686,1.246,7699,4.029,144.1,1.187
2667,0.6641,12880,9.257,30590,0.6438,3635,0.8567,1783,1.476,7699,4.029,132,0.9192
3039,0.6105,175200000,0.8777,38960,0.655,2777,1.173,1791,1.511,7699,4.029,187.8,0.8218
2235,0.9521,2.46E+09,1.323,69590,0.5209,2812,1.369,1858,1.427,7414,3.712,191.6,0.693
3080,0.5714,1.39E+09,8.57,154300,0.4711,3637,1.202,2014,1.571,999200000,1.037,131.6,0.7857
2368,0.6644,171800000,2.911,58980,0.5846,2908,1.196,1960,1.348,14390000,9.151,127.2,1.14
3040,0.5809,192800000,9.272,32970,0.656,3110,1.088,1929,1.284,13580,7.897,159.2,0.7027
1836,0.9004,4046000,1.737,39260,0.6169,2809,0.8981,1946,1.402,2.27E+09,2.156,162.8,0.6548
4738,0.5546,4664,9.988,34100,0.6358,2700,1.07,1837,1.304,1976000,9.343,176.3,0.7594
2804,0.6512,1720000,9.808,23510,0.7157,3721,1.035,1653,1.351,4.93E+09,8.198,169.9,0.8526
2206,0.7984,246400,9.35,23390,0.8029,3343,1.129,1796,1.441,6137,5.99,105,0.754
2379,0.6858,4720000,0.8904,27380,0.6728,2694,0.8776,1771,1.579,11080,6.23,147.8,0.9463
3612,0.528,24760000,9.673,119600,0.4577,3160,0.7524,1946,1.381,6204000,3.277,143,0.6277
2276,0.5878,1.03E+09,4.511,17470,0.9491,3827,0.9491,2157,1.31,451100000,0.3023,191.7,0.8206
2575,0.6233,34690000,3.896,35160,0.642,3471,0.8485,1587,1.326,8728000,6.8,155.3,0.9533
3017,0.7108,413600000,6.068,29400,0.6619,2526,1.697,1836,1.668,160200000,8.776,155.2,0.8531
3817,0.7434,24170000,1.563,19560,0.7654,2819,0.8903,1763,1.598,48090000,8.011,181.7,1.969
2790,0.6702,7548,5.488,26350,0.7026,3619,0.9505,1712,1.278,4.89E+09,1.288,101.9,1.814
3093,0.5245,73990000,0.5987,20290,0.7246,3268,1.07,1870,1.418,38180,1.268,113.6,0.8091
4086,0.379,61680,9.566,101800,0.4652,3182,1.391,1707,1.565,10570,3.513,198.2,1.318
4575,0.508,2368000,9.873,44950,0.6559,2504,1.556,1967,1.51,70500,7.759,167.1,0.83
2259,0.6196,22260,6.566,17190,0.9341,3058,0.9551,1856,1.453,4926,8.766,225.4,0.9197
5249,0.4288,22880,5.489,11540,1.067,3705,0.7585,1861,1.525,4765,8.779,152.5,0.7185
2132,0.7263,33650000,3.443,26790,0.7587,2927,1.377,1782,1.491,4765,8.779,185.5,1.17
3052,0.6728,858700,9.574,19260,0.8392,2753,1.455,1703,1.474,4618,8.656,133.4,1.241
3439,0.4964,570900000,3.807,34620,0.6934,2623,1.338,1831,1.352,4618,8.656,98.99,0.7099
2921,0.7732,640700,7.731,47770,0.6106,3070,1.088,1742,1.691,4527,9.263,142.6,0.9884
3229,0.6013,805300,5.751,33580,0.6716,3175,1.101,1755,1.274,7985000,2.828,197.6,0.7244
2868,0.6749,388800,0.9527,19920,0.7913,2703,1.305,1918,1.703,2181000,8.619,143,0.7116
2924,0.6141,20430000,0.5673,20410,0.811,2763,1.714,1757,1.267,33090,1.57,118.3,1.462
2680,0.719,5455000,9.283,29950,0.6813,3060,1.268,1925,1.28,21490,1.675,207,0.8493
1380,0.6515,8827,6.646,28390,0.6879,2975,0.9905,1850,1.368,21490,1.675,155.9,1.072
1903,0.8728,23070000,2.543,107400,0.4262,2658,1.649,1516,1.456,10720,3.006,145.3,1.137
3446,0.5619,9215000,3.323,78430,0.5243,2540,1.31,1693,1.458,11770,2.795,115,0.8524
2812,0.5957,1.68E+09,6.221,9544,1.125,3346,1.145,1768,1.186,11770,2.795,103.9,0.6494
2900,0.6047,9.85E+09,1.562,19290,0.983,3013,1.562,1632,1.903,11770,2.795,274.6,1.758
3238,0.8321,19860000,7.691,26890,0.6849,1922,1.172,2007,1.35,11770,2.795,168.9,0.8453
3313,0.6073,16720,4.073,77540,0.5017,3305,0.846,1933,1.396,9476,3.489,156.1,0.788
2971,0.6756,2251000,4.602,100500,0.4759,3428,0.8275,1925,1.492,4413,9.5,113.7,0.7647
2318,0.8981,25190000,2.992,35210,0.6752,2860,1.223,1905,1.574,4528,9.624,113.2,0.8095
2835,0.7039,56160000,0.5531,19540,0.8173,2874,1.13,1604,1.292,2986000,0.6803,105,0.6589
3380,0.6404,8.65E+09,5.775,21260,0.8707,3241,1.264,1909,1.491,6389000,0.4903,126.2,0.9548
3626,0.6048,39280000,7.821,49440,0.5138,3109,0.9626,1767,1.328,828700,0.6269,129.4,0.9069
3266,0.7136,27750000,0.5758,16020,0.8706,2919,1.458,1830,1.272,462800,0.8386,88.44,1.211
2598,0.7644,25570000,2.788,12630,1.017,3078,1.182,2016,1.759,7268,3.684,115.7,0.7784
2064,0.8752,5.55E+09,8.012,49170,0.6582,3092,1.146,1876,1.726,42990000,8.943,140.5,1.55
3029,0.7535,116700000,3.451,31910,0.6435,2871,1.133,2048,1.365,2.95E+09,0.8746,258.5,0.9249
3262,0.6322,2343000,0.9841,25830,0.6921,2959,1.389,1806,1.585,64160,1.74,179.3,0.6648
2523,0.6052,56120000,8.803,61770,0.567,2105,1.256,1825,1.481,1961000,5.095,154.9,1.782
3406,0.6415,14990,4.208,12400,1.13,2708,1.126,1883,1.276,8.33E+09,1.226,212.2,0.5107
4030,0.7443,500600,7.939,13660,1.145,2821,1.181,1987,1.271,941500000,1.102,168,1.299
10430,0.3967,22870,4.575,9100,1.254,3118,1.155,1704,1.637,39950,2.805,130.5,0.7691
15540,0.3482,3704000,2.098,11640,0.9451,2375,1.417,2092,1.295,7221,4.081,148.5,0.7296
7288,0.5816,135700,9.794,35270,0.7495,3151,1.129,2150,1.25,5349000,3.093,99.48,0.902
4498,0.4874,306500,5.356,46020,0.6282,2822,1.292,1948,1.361,2833000,0.664,87.76,0.9402
2052,0.7888,3732000,7.502,22070,0.764,2708,1.03,1511,1.658,1601000,0.7575,157.8,1.188
2556,0.8721,2.92E+08,4.329,24930,0.6682,2243,1.353,1727,1.286,162100,0.9525,147.5,0.9772
4157,0.5636,2.60E+09,1.81,15000,1.103,2603,1.465,1912,1.537,162100,0.9525,138.9,0.6735
1997,0.6766,7.24E+09,0.5191,110700,0.4837,2697,1.423,2012,1.434,162100,0.9525,113.6,1.328
2633,0.7259,1.17E+09,1.843,137100,0.4995,2666,1.471,1954,1.424,162100,0.9525,148.1,0.9811
6253,0.4379,2.14E+09,8.653,130000,0.4512,3263,0.9672,1729,1.602,162100,0.9525,128.6,0.799
5069,0.4854,66400,8.821,22880,0.7274,2804,1.186,1791,1.589,24740,1.849,171.1,1.02
