ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
251.4,1.236,1301,9.764,1257000,4.047,6.65E+09,2.146,4576,1.673,18890,0.7594,543.2,1.122
190.2,1.135,226700,9.976,6384000,6.943,611300000,6.937,4389,1.2,8424,0.9936,505.6,1.019
216.6,1.058,4084,1.898,874500,1.315,1.50E+09,9.133,5538,1.227,8423,0.9998,451.6,1.002
213.7,1.012,38960000,2.78,20120,1.01,48010,9.367,3676,1.743,8834,1.008,539.3,0.9445
209.1,1.234,1872000,8.284,1.33E+09,1.371,734600,2.021,119100,8.714,20680,0.689,549.3,1.352
218.8,1.143,1390000,1.826,249300000,0.2796,232200000,2.343,1.78E+09,5.387,10310,0.88,528.4,1.272
222,1.059,29540000,3.374,14880,1.288,968300000,1.015,1.69E+09,0.1933,9527,1.059,452.7,1.041
202.2,1.16,444300,1.591,14930,6.676,5.42E+09,6.257,9006,1.526,13270,0.8539,477.2,1.079
222.2,1.019,170600,0.5556,1530000,6.364,300300000,0.5965,46230,0.7318,7783,0.9503,426.3,1.027
205.9,1.014,2.68E+09,6.383,882900,9.708,1839,8.281,12180,0.8992,22720,0.7064,453.9,1.077
235.7,0.815,5.38E+09,5.383,220100,8.195,35560,7.398,2622,2.043,34380,0.6304,506.2,1.233
262.3,0.7959,78880,5.118,3836000,0.6261,14970,8.513,816700000,8.599,13040,0.7975,491,1.093
199.7,1.097,135300,3.18,25640000,7.953,1.18E+09,0.9546,3001,1.713,6921,1.2,510,1.315
227.7,1.073,516300000,6.375,950.8,7.128,286500000,6.87,1872,2.749,142700,0.4859,457.9,1.118
192.5,1.171,20010,7.875,1911000,9.606,341200,5.742,1872,2.749,27340,0.6355,533.3,1.09
234.4,1.295,7969,3.377,1176000,0.4777,103000,8.117,1872,2.749,44460,0.6016,535,0.962
170.8,1.156,168200000,8.052,735600,0.5053,8843,2.28,1.04E+09,6.594,24820,0.6768,502.4,1.09
204.6,0.9717,3178,3.259,735600,0.5053,32780000,9.077,13870000,8.404,16610,0.7808,469.6,1.08
191.4,1.16,49170,1.818,735600,0.5053,9.71E+09,1.001,5878,3.543,6371,1.059,497.3,1.226
164.4,1.187,127300,1.79,553000,0.4055,12290000,1.36,143800,9.794,12640,0.848,507.4,1.222
208.8,1.015,42360,8.601,984300,0.5487,1.89E+09,8.131,30050,0.6713,9656,0.981,545.5,1.129
213.4,1.087,1945,3.503,30750000,0.4427,7.13E+09,0.8337,37440,1.705,22130,0.8236,474.5,0.9254
