ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
7454,0.7825,7542,0.8731,5.27E+09,0.2022,4403,2.206,4814,0.9388,743100,1.259,1167,0.9218
6925,0.9614,9531,0.6885,5.58E+09,0.2211,3708,1.924,4557,0.9992,63810,2.109,1128,0.7995
9029,0.7134,9267,0.7549,1035000,0.5311,4055,1.975,4900,0.8545,30210,2.992,1156,0.7384
7755,0.7417,7595,0.7512,40350000,0.3238,4287,1.83,4273,0.9752,21750,3.145,1144,0.7176
7444,0.7785,8969,0.6207,71350000,0.4191,4776,1.908,4698,1.046,20920,6.495,1425,0.7413
8605,0.9448,7559,0.7331,2.76E+09,0.2225,4398,1.681,4885,1.088,14490,6.469,1262,0.9627
6861,1.241,8052,0.7044,4.74E+09,0.2084,4568,2.165,4192,1.038,17190,6.372,1155,1.084
8487,0.7591,9512,0.5608,134100000,0.3051,4622,1.808,4579,0.9517,15100,6.397,1113,1.315
8267,0.7817,7919,0.7015,3.06E+09,0.2028,4475,1.933,4127,1.052,15100,6.397,1102,0.8413
8571,0.9424,10030,0.6305,3.16E+09,0.2204,4617,2.136,5114,1.031,1.71E+09,7.15,1211,1.225
8864,0.9359,12410,0.4865,3.16E+09,0.2204,5061,2.334,4166,0.8687,6218000,7.921,1300,1.154
6840,0.9068,9544,0.6024,6710000,0.5299,4054,2.175,4425,1.127,14980,7.292,824.2,0.9824
9075,0.8714,8550,0.7032,159900,1.044,5038,2.478,5592,0.9598,17720,6.809,786.3,0.922
8091,1.062,9074,0.7488,601900,0.7009,5148,2.593,4974,1.003,45040,6.836,1433,0.9512
7644,0.6325,8012,0.7446,2112000,0.4889,8489,6.035,4591,0.9228,5.97E+09,5.759,1143,0.8664
7023,0.7932,6156,0.8939,707300,0.5391,7583,7.536,5558,0.9818,942700000,8.752,911.2,1.108
6821,0.6897,9606,0.7923,15910000,0.3283,7693,5.739,4940,0.9265,349600000,7.83,1088,1.028
8707,0.9434,9855,0.7373,38320000,0.312,7308,5.679,4599,1.113,6.44E+09,9.559,1345,0.8386
7595,0.9613,10200,0.4948,570500,0.5951,7580,5.359,4395,1.033,3.41E+09,9.754,1082,0.9259
8901,0.9291,8654,0.6811,31430000,0.3582,7640,5.178,4310,0.8545,110700,8.985,1051,0.9351
8161,0.6579,10320,0.6135,59360000,0.3274,7103,5.164,5668,0.9036,4555000,8.865,1198,1.149
8496,0.8884,9280,0.7218,1481000,0.4325,5917,4.488,4156,0.8606,37270000,8.016,980.1,0.9684
6430,0.8362,9840,0.6968,2.37E+09,0.2168,7762,4.734,4729,0.8076,40900,4.725,1000,0.8692
8074,0.8698,15250,0.4813,435900000,0.2808,5200,2.85,3446,1.054,21780,4.625,1277,0.9161
8791,0.9822,8699,0.5414,2.86E+09,0.2303,4029,1.716,3693,0.9664,44250,4.652,1295,0.9095
8070,0.7522,10940,0.7213,1.18E+09,0.2383,5392,2.12,4849,1.045,55110000,4.925,1120,0.8113
7568,0.7204,11120,0.6121,317100000,0.254,5108,1.911,4772,0.9393,48320,3.571,971.3,1.158
8788,0.8002,12120,0.7464,3.51E+09,0.226,4915,1.996,4685,0.789,73990,1.281,1319,1.046
8440,0.9149,7024,0.682,1.45E+09,0.2222,4454,2.432,4375,0.9447,129400,1.136,1193,0.876
8059,0.813,8088,0.797,2.41E+09,0.2339,4664,2.197,4774,0.9101,29930,2.524,1093,0.8427
10310,0.7864,8564,0.7547,25130000,0.3768,3955,1.52,5133,1.023,37100,1.937,979.4,0.7738
6416,0.7537,10830,0.7311,2.95E+09,0.2349,5223,2.039,4598,0.8743,37110,1.93,1326,0.9394
8516,0.743,9658,0.7481,44740000,0.3329,3895,1.982,4848,0.8373,44730,1.812,881.5,0.8818
8162,0.811,11460,0.6771,50650000,0.2832,4067,1.853,4353,0.9469,1065000,0.5745,1150,0.9273
7990,0.8911,13750,0.6056,32030000,0.3335,4597,2.853,4290,0.9471,1764000,0.5157,881,0.904
8169,0.8416,8437,0.7443,3.39E+09,0.2158,4492,2.195,4545,1.093,2247000,0.4545,1055,0.878
7613,0.9324,9618,0.6847,8.02E+09,0.1823,4170,2.136,5514,0.8813,33610000,0.3169,1139,0.8994
9332,1.198,13150,0.6984,5.11E+09,0.2073,4929,2.326,4128,0.9386,4963000,0.5173,1064,1.026
8533,0.8638,10500,0.5838,76320000,0.2741,5039,2.228,4247,0.8062,919400,0.7105,1426,0.7993
6638,0.7742,10710,0.7498,1.13E+09,0.2045,4987,2.142,4967,0.8918,243600,0.8357,1032,0.7544
10530,0.8731,7597,0.6932,752700000,0.2484,4397,2.032,5097,1.034,2576000,0.5703,1098,0.8689
8831,0.93,9217,0.6906,427500000,0.2575,5317,2.075,4980,1.014,20370000,0.4306,1188,0.9048
8248,0.8314,12480,0.592,49230000,0.3689,3993,1.952,4754,1.003,90940,0.9657,1160,1.106
11080,0.639,9319,0.7824,24800000,0.2925,4409,1.939,4757,0.9638,318500,0.7209,1368,0.7263
9230,0.8205,11000,0.8636,385300000,0.3131,3917,2.102,4304,1.069,163000,0.9728,1082,0.8405
7675,0.8925,14280,0.6076,14870000,0.3298,5582,2.325,4645,0.9615,55410000,0.3193,1083,0.8283
8637,0.9051,10360,0.6674,1757000,0.5513,4039,2.041,4632,0.9926,32870000,0.3638,1062,1.007
9009,0.8879,7464,0.6263,20470000,0.3428,3858,1.978,3905,0.9972,131900000,0.3108,915.6,0.7953
7901,1.007,10160,0.6343,160800000,0.2626,3805,2.309,4778,0.9658,1683000,0.5183,971.3,0.9739
10640,0.8799,9860,0.7342,10450000,0.371,4624,1.78,4254,0.9382,29670000,0.4155,961.4,0.9603
6305,0.9642,12530,0.5715,21030000,0.33,3923,1.644,5093,0.9096,34870000,0.3179,1427,0.9188
8767,0.8942,9368,0.7783,5.22E+09,0.2108,4598,2.109,4152,0.8073,235500000,0.3211,861,1.005
7081,0.811,12660,0.5634,3.73E+09,0.2468,4243,2.033,4590,0.9381,154400000,0.3272,1190,0.8956
8646,0.9637,13280,0.6078,87310000,0.2972,4840,2.225,4737,0.8903,7211000,0.5638,1254,0.9563
9482,0.7979,10230,0.6165,19390000,0.3938,3919,2.166,5525,1.078,77270,1.6,1050,0.9791
7409,0.995,10090,0.7565,134100000,0.2812,3916,2.529,4702,0.9471,51760,1.664,966.3,0.9992
9090,0.9934,11420,0.646,119800000,0.2922,3586,1.949,4905,0.9386,62310000,2.361,1396,0.8368
7633,0.915,10970,0.6112,406800000,0.2651,5078,1.951,5243,0.863,68650000,3.39,1146,0.8363
7216,0.8886,8307,0.7333,277400000,0.2353,4388,2.251,5436,0.9342,17220,5.736,1033,0.876
8955,0.7574,7788,0.6735,13150000,0.3823,4330,2.219,4840,0.8476,4074000,4.693,876.6,0.8648
8457,0.7334,10860,0.522,292900000,0.2598,4104,2.207,4982,0.9506,124100000,6.65,983.9,0.8966
7694,1.012,7128,0.6159,1.04E+09,0.2278,4064,2.187,4581,0.8455,146200,5.791,1361,1.001
8113,0.8537,11600,0.6038,511500000,0.285,4423,2.037,4827,0.9054,16160,6.445,1076,0.8765
10170,0.8625,8659,0.8441,910200000,0.2412,4487,1.885,4730,0.7279,16160,6.445,1076,0.8566
10030,0.8208,10290,0.7551,6.52E+09,0.2046,4230,2.265,4503,0.8529,15440,6.764,1340,1.184
10100,0.5761,10980,0.5923,8.99E+09,0.1841,4298,1.786,3914,0.7656,15440,6.764,1108,0.7604
7674,0.7904,8285,0.6959,1.73E+09,0.2376,4189,1.614,4868,0.897,13360000,3.394,1083,0.9907
7941,0.7143,9793,0.6199,5.23E+08,0.2482,4886,1.853,4028,1.019,107500,3.568,1342,0.6774
9187,0.8792,12850,0.5711,1.03E+09,0.243,4687,2.402,4243,1.07,27980,4.028,1217,0.9601
9135,0.7045,8372,0.619,32120000,0.3124,4393,2.381,3951,1.095,177400000,5.089,1129,1.14
8950,0.7015,9038,0.6868,166100000,0.2941,4562,2.025,4298,0.8716,1.82E+09,2.523,943.3,0.881
8991,1.038,8631,0.748,7821000,0.3799,4203,2.179,4720,0.8196,6252000,2.408,1149,0.8246
8647,1.033,12060,0.6604,18350000,0.3233,4589,2.111,4595,0.8652,150500000,3.6,1174,0.9531
7384,0.6948,9306,0.7608,3.56E+08,0.278,5073,1.902,5227,0.8432,24090,3.646,1530,0.7081
11040,0.5943,11350,0.6122,7126000,0.3553,4791,1.96,4704,0.8975,23280,3.931,946.6,1.057
12280,0.6493,8067,0.6634,11960000,0.3584,3786,2.236,5154,0.9687,18870,3.642,967.6,0.9101
6881,1.068,8099,0.6651,1.01E+09,0.2418,5172,2.359,5346,0.9319,20900,4.088,1063,0.9064
9244,0.758,9940,0.7229,9333000,0.5185,4861,1.706,5160,0.8255,20280,4.83,1159,0.99
7628,1.096,9384,0.7851,413600,0.7426,3815,2.134,4635,0.8688,1.79E+08,4.808,1033,0.7406
6681,0.8817,11610,0.6157,2.88E+09,0.22,4667,1.704,5026,0.9109,669200000,5.21,1051,0.9082
6604,0.769,11010,0.587,492100000,0.2356,4721,1.916,4562,0.803,4.70E+08,3.846,1300,0.8449
6790,1.065,6899,0.9007,352600000,0.2466,4272,1.897,3591,0.9056,55270000,7.328,1160,0.9666
10880,0.7231,12460,0.6062,177900000,0.2554,3764,2.197,5205,1.018,650300,5.616,1132,0.7657
8656,0.7343,10510,0.7177,22900000,0.4506,4620,2.647,6834,0.802,19630,5.61,945.9,0.9598
8691,0.7719,11470,0.6184,660200000,0.254,4555,2.258,4113,0.9917,16720,5.83,1094,1.177
12460,0.8552,11510,0.6221,2.99E+09,0.2,3947,2.136,5347,0.9739,1612000,5.322,1454,0.8847
8619,0.8695,10120,0.6625,5189000,0.4763,4235,1.897,4094,0.9102,19860,3.478,934.3,0.8646
8952,0.8467,8794,0.7069,2911000,0.5728,4092,2.176,4845,0.9338,32100,3.211,1247,0.8638
9315,0.7304,8633,0.7033,26680000,0.4012,4367,1.96,4510,0.9258,21930,4.591,942.2,0.873
8699,0.9201,10280,0.7322,45180000,0.2909,4766,2.366,5163,1.179,147800000,8.644,1255,0.9567
7961,1.201,7998,0.6447,4856000,0.4165,3764,2.003,3679,0.8798,66090,8.41,1197,0.8135
7369,0.9773,9041,0.6365,64570000,0.3253,3820,1.608,4981,0.9384,4930000,7.331,1154,0.8396
7295,0.9541,8189,0.9249,14520000,0.3407,4110,2.219,4279,0.9568,14260000,9.194,1156,0.9518
8038,0.8862,9792,0.7114,258800000,0.2254,4731,2.223,4653,0.8989,19890000,8.676,1157,0.907
8708,0.8349,10240,0.6643,8.02E+09,0.2161,4396,2.023,4967,0.9243,2859000,9.652,1318,0.7984
7539,0.7495,8564,0.7212,4.60E+09,0.235,4597,1.873,4627,0.9934,238500000,7.009,1119,0.8121
7315,0.8641,7091,0.8618,184200000,0.276,4951,2.362,4557,0.868,4065000,9.545,1036,0.9069
8079,0.7294,10540,0.6756,100200000,0.3432,4649,2.403,4928,0.8138,73160000,6.976,1132,0.9434
7993,0.8563,9593,0.8046,7189000,0.4068,5159,2.076,3559,0.8939,108500,7.739,894.5,0.9552
8053,0.9229,7086,0.6505,1.66E+08,0.2875,5464,2.176,4343,1.047,17190,6.258,1135,0.8031
8320,1.219,9202,0.7411,528400000,0.2735,3870,2.733,4075,0.9645,17190,6.258,1057,0.899
6953,0.9187,9907,0.7519,15680000,0.3104,4383,2.245,4684,0.9203,17190,6.258,1109,1.023
8741,1.052,8817,0.7083,2088000,0.4221,4462,1.95,5222,1.109,17590,6.235,1179,1.051
7294,0.7636,10380,0.6484,515500,0.7116,3855,2.545,4488,1.015,17220,6.132,1098,0.9149
11130,0.7206,9928,0.8789,7843000,0.3754,4011,1.776,4808,0.9267,6708000,6.104,1054,1.009
9392,0.898,8612,0.6676,49080000,0.3644,4713,1.825,3902,1.034,529800,6.604,1089,0.9354
11060,0.8031,9520,0.6725,66010000,0.3014,5954,2.353,5178,0.8218,29250,3.467,1239,0.9132
10770,0.9091,7796,0.597,7.31E+09,0.2049,4728,2.299,4904,0.959,41840,2.082,1350,0.8307
7161,1.057,12070,0.658,1.85E+09,0.2247,4219,2.348,4274,0.8881,36050,2.493,1130,0.9545
8057,0.8436,8594,0.696,30800000,0.3837,3917,2.059,5198,0.9704,33260,2.612,1196,0.7865
8237,0.7537,10300,0.7177,2922000,0.4873,4219,1.678,4470,0.999,30840,2.487,1014,0.9321
9668,0.7492,7910,0.6969,12570000,0.3602,4594,1.76,4341,1.009,335900,1.222,1123,0.9336
8234,0.7882,9737,0.6433,49450000,0.2849,4609,1.798,3957,0.9202,30810,2.143,1206,0.7433
7554,0.8758,11030,0.7385,2.69E+09,0.2165,4473,2.247,4465,0.859,33020,2.346,1278,0.8237
8328,0.846,9677,0.7613,6.15E+09,0.1942,4828,2.26,4122,0.8069,164700,1.365,1107,0.8137
10830,0.793,12610,0.5754,1.04E+09,0.2352,4202,1.464,4224,1.006,1.80E+07,0.4033,921.3,1.106
10770,0.7039,7895,0.7136,40390000,0.3584,4177,1.902,4873,0.8558,2465000,0.539,819.9,0.9762
9395,0.6327,7432,0.6962,1.37E+09,0.2548,4422,1.901,4462,0.914,10090000,0.5486,1162,0.9965
6767,0.9257,7986,0.7116,915200000,0.2317,4247,2.237,4561,0.8795,3.96E+09,0.2312,1220,0.8448
10590,0.639,7861,0.7085,4226000,0.3937,4228,2.244,5252,0.845,617600,0.7682,1125,0.9995
9542,0.7451,10470,0.6653,1.31E+09,0.2287,4604,1.949,5206,0.8588,204600,0.8664,893.1,1.082
9109,0.799,8233,0.7013,711700000,0.275,4949,2.043,5129,0.7845,64970,1.307,1072,1.106
7625,0.9338,10720,0.6949,8537000,0.3777,4769,2.31,4247,0.8486,764400,0.5845,1079,0.7604
8567,1.088,13240,0.5457,77030000,0.3073,4891,2.146,4230,0.9701,56080000,1.392,799.5,1.105
8682,0.8572,8858,0.6196,8514000,0.3813,4891,2.233,3948,0.9809,243700,0.6784,1347,0.6557
8479,0.7754,8225,0.6058,1492000,0.5417,4743,2.329,4626,0.7838,1095000,0.5477,1328,0.8917
6281,0.9684,8655,0.7248,640100000,0.2769,4484,2.399,4323,0.9295,591200,0.6271,953.3,0.9146
8047,0.9267,8796,0.7398,1.48E+09,0.231,4579,2.537,7598,0.6829,3.00E+08,0.3445,983.7,1.075
7949,0.9677,11650,0.6548,886100000,0.2371,3975,1.91,6707,0.9448,3.00E+08,0.3445,1185,0.7452
9088,0.8919,12670,0.6269,1.87E+09,0.232,4479,2.418,5402,1.002,4894000,0.4085,1145,1.124
5811,0.9622,8541,0.6774,3.95E+09,0.2162,4212,1.907,5293,0.7752,2359000,0.4337,1147,0.7649
8273,0.962,9399,0.7458,445500000,0.2602,4018,1.965,4811,0.9417,31300000,0.309,1245,0.79
8899,0.6818,9034,0.7732,523300000,0.2426,4838,2.242,4606,0.8583,31300000,0.309,1000,0.898
9009,0.796,7040,0.8284,1.08E+09,0.1984,5099,1.967,4617,0.9727,10960000,0.4134,1095,0.9123
13050,0.6802,8245,0.7056,2.32E+09,0.2354,4272,1.958,4557,0.9853,8218000,0.4408,1073,0.9169
6241,0.8937,7633,0.8345,655900000,0.2475,4002,2.938,4486,1.105,2284000,0.5118,1326,0.7746
9257,0.7783,7982,0.778,615300000,0.234,4100,1.913,4732,1.062,3909000,0.4273,1031,0.8228
7371,0.9716,9804,0.5932,445600000,0.2817,4179,1.815,5099,1.064,7.67E+09,0.2547,1037,0.8689
7848,0.8715,10720,0.5551,4.84E+09,0.2464,3815,2.146,5148,0.8978,1002000,3.213,808.8,0.9471
8317,0.8155,9844,0.7067,79510000,0.2846,3534,1.969,4339,1.001,6.30E+09,3.038,1131,0.7988
8486,0.9531,10340,0.6472,232700,0.7063,4543,1.782,4425,0.9069,125900000,0.8925,1052,0.908
7232,0.8584,9522,0.7075,2.19E+09,0.2019,4867,2.606,4158,0.7467,10220000,0.4389,1038,0.884
6316,0.8018,8580,0.8066,657700000,0.2716,4612,2.496,4947,0.83,26590000,0.4562,1105,0.764
7507,0.9185,8002,0.7344,335400000,0.2436,4728,2.002,4260,0.8932,4113000,0.4321,1243,0.8326
7852,0.5604,9583,0.6439,141200000,0.3395,4947,1.913,4137,0.9428,1.71E+09,0.2222,1148,1.09
7668,0.8344,7888,0.687,112300000,0.3125,4648,2.091,4131,0.8872,1.33E+09,0.2583,1330,1.146
7373,0.8144,8991,0.6705,7757000,0.376,4307,2.183,4099,0.9832,458500000,0.2329,655.3,0.7025
8944,0.7723,11050,0.6192,7461000,0.3439,4579,2.291,4033,0.9011,901100000,0.2389,689.6,0.8488
7763,1.017,8656,0.6801,287600000,0.2581,4799,1.645,4028,1.088,30240000,0.3755,1248,0.7356
8739,1.137,10410,0.5316,25360000,0.3912,3839,2.105,4222,0.9451,58910000,0.3205,1213,0.8743
4123,0.8551,11130,0.5951,79180000,0.3497,4811,2.214,3861,0.9233,243900000,0.3083,1587,0.7713
5506,0.8326,10480,0.6614,142500000,0.2949,4316,2.033,4504,0.8629,8.23E+08,0.2582,1224,1.076
8213,0.6522,11110,0.6825,901200000,0.2598,4444,1.824,4844,0.9109,322300000,0.2946,987.6,1.069
9179,0.6951,12360,0.6436,2.10E+09,0.2439,4207,1.77,4424,0.9982,161300000,0.2763,1101,0.8749
6482,0.8139,9972,0.7361,5.14E+08,0.2441,4652,1.923,3626,1.069,2.20E+08,0.2828,996.9,0.898
9055,0.8415,11150,0.6623,847700000,0.2061,4569,2.577,5160,0.7581,1.49E+09,0.281,1036,0.8424
8829,0.7786,5330,0.6667,713400000,0.2387,4471,2.48,4690,0.9213,2.75E+09,0.2318,1019,0.6939
11470,0.8279,12750,0.5378,194600000,0.2699,5136,2.408,4834,0.7561,2.75E+09,0.2318,865.7,0.8428
7370,1.224,8756,0.7254,16630000,0.3677,4300,2.139,5166,0.938,2.75E+09,0.2318,1339,1.003
7172,0.9066,10690,0.6865,64260000,0.309,3940,2.02,4984,0.8697,2.75E+09,0.2318,1261,0.9058
7975,1.042,7631,0.7947,1412000,0.496,5273,1.93,5263,0.7869,468400000,0.2954,1264,0.9585
8425,0.9715,12500,0.667,27250000,0.3815,3873,2.438,4612,1.001,468400000,0.2954,1186,0.8475
6525,0.7932,12150,0.7424,2208000,0.4346,3825,2.031,4539,0.9599,17030000,0.4814,1296,1.041
10510,0.5974,6950,0.8594,387400000,0.2544,4692,1.995,3259,0.9338,428200,0.7512,1271,0.8834
7755,0.9121,12240,0.7136,1.46E+09,0.208,4389,2.097,3882,0.9592,350500,0.9506,1106,0.8024
8773,0.9881,13460,0.5465,9946000,0.3803,5915,2.183,4789,0.8923,1342000,0.5461,1429,1.027
8658,0.8117,12940,0.6317,1.18E+09,0.2324,5034,3.042,3765,0.9847,112500,1.102,977.3,0.8399
7156,0.8671,9270,0.734,6.81E+09,0.2522,4876,2.441,4959,0.7715,4370000,0.4494,1328,0.7546
10260,0.9356,6102,0.7519,1791000,0.5447,5127,1.91,4620,0.9555,4370000,0.4494,994.3,0.8738
7507,1.03,13510,0.6992,370500,0.7554,4118,1.789,4155,0.861,1257000,0.5794,1434,0.7897
6577,0.6965,10450,0.7412,2.01E+08,0.292,3882,2.304,4369,1.044,301300,0.6985,961.9,1.061
7272,0.8354,11940,0.7203,691500000,0.2549,4584,2.329,4479,1.034,235100,0.8184,1320,0.8741
9470,0.9266,9099,0.6687,16520000,0.4644,4831,1.985,4182,1.028,6488000,0.3695,1237,0.9298
7873,0.9631,8471,0.7777,767400000,0.2577,4468,2.059,5360,0.8789,17690000,0.3443,883.5,1.138
9981,0.8916,15500,0.5411,7454000,0.5827,4367,1.77,4596,0.9842,17690000,0.3443,1074,0.986
8489,1.252,7915,0.7254,6093000,0.503,3833,2.643,3981,0.8741,2884000,0.4568,1201,1.162
6914,1.256,11610,0.7039,4979000,0.4158,4325,1.867,4267,0.8791,4781000,0.4298,1108,1.023
8006,1.032,10020,0.6744,90900000,0.2664,4428,1.938,4432,1.165,215500,0.9615,1333,0.7539
8095,0.9115,10020,0.7149,15820000,0.3112,4251,2.068,4212,1.039,111800,1.259,1085,0.9136
7591,0.8267,10060,0.5867,24050000,0.3274,4670,1.963,4694,0.9375,43550,1.613,1281,0.8226
6646,0.8665,5766,0.6735,122900000,0.2822,4835,1.614,4357,1.017,438500,0.7472,960.9,0.9269
8216,0.6657,6736,0.918,16990000,0.3335,4842,2.135,4974,0.8232,1362000,0.5184,927.6,0.98
11500,0.6105,8118,0.6989,19140000,0.3389,4032,2.396,5365,0.951,4626000,0.479,1334,0.8951
7582,0.9791,11130,0.6734,1918000,0.5198,5412,2.058,4622,1.084,1346000,0.6097,1331,0.8696
8537,0.7648,9592,0.8014,19530000,0.3501,5697,2.063,4290,1.046,1508000,0.5327,1239,0.8809
8948,0.7646,8684,0.8117,8.35E+08,0.33,4935,2.595,4425,0.9335,115500,1.206,1098,0.8015
9568,0.7655,12930,0.6609,15640000,0.332,4406,2.288,3716,0.9509,44190,1.921,1210,0.973
6974,1.015,8516,0.666,50130000,0.3149,4273,1.959,4532,0.8857,17660000,0.3594,984.3,0.9951
7259,1.075,10140,0.8065,286500000,0.2408,3519,2.737,4104,1.19,25740000,0.3498,914.9,0.9311
6425,0.7999,9007,0.8479,246300000,0.2927,4495,2.694,4602,0.8611,24960000,0.3504,1529,0.5941
7323,0.8947,7901,1.051,2.95E+09,0.2119,4689,2.457,3976,1.016,528700000,0.3109,1310,0.8233
