ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
8784,0.8688,9126,0.7365,14040000,0.3437,4858,1.731,4726,0.95,4456000,0.4308,1335,0.9588
8771,0.9491,9159,0.8156,221600000,0.2891,5374,1.925,5297,1.034,555200,0.6251,1211,0.8194
7432,0.8062,11060,0.7491,427600000,0.291,4251,1.769,4497,0.8673,32510,2.764,1001,1.093
13260,0.6207,12030,0.5776,83220000,0.331,4645,1.79,4425,0.9259,5.17E+09,1.709,846.2,1.168
7026,1.031,17180,0.5362,49750000,0.3166,4303,1.868,4317,0.9606,2634000,0.6453,1045,0.9562
9075,0.7458,20990,0.5983,84950000,0.3275,4720,1.794,4948,0.8481,680500,0.6877,1122,0.8061
7515,0.9617,10050,0.6159,710400000,0.2638,3741,2.229,5554,0.9942,971100,0.59,1108,1.185
10060,0.6086,8963,0.6905,4383000,0.7654,4424,2.422,4591,1.063,1701000,0.5136,1500,0.8714
13580,0.6823,8031,0.661,21660000,0.3346,6081,2.591,4168,0.9274,146000,1.142,1262,0.9974
9527,0.9298,11890,0.6137,87300000,0.2713,4532,1.519,4855,0.9261,27640,2.561,889.1,0.9758
9658,0.8174,7257,1.005,87140000,0.2885,4464,2.011,4395,0.9498,49790,2.473,943.5,0.7101
8644,0.8277,13270,0.592,1.43E+09,0.2001,3915,1.779,4652,0.9028,100200,0.9729,1215,0.7881
7966,0.9381,8014,0.7901,2.86E+09,0.2024,4620,2.351,5563,0.8357,785700,0.6656,1198,1.066
10050,1.017,10440,0.652,7.09E+09,0.1942,4433,2.11,5389,0.9166,602400,0.673,1598,0.591
9169,0.94,11600,0.6358,2.54E+09,0.2249,3870,2.41,4673,0.9106,27330000,0.4034,976.5,0.6907
7759,0.8327,7491,0.944,296200000,0.2718,4207,2.614,4181,0.8299,7490000,0.4109,1484,0.7817
6633,0.8244,11190,0.6291,85310000,0.2856,4456,2.547,5003,0.9103,6718000,0.3906,1065,0.7477
6126,0.7587,12470,0.7188,3.13E+09,0.2244,4953,2.049,5020,0.9893,835400,0.6328,1065,0.8211
9143,0.7687,13080,0.4922,1.06E+09,0.236,4188,2.312,3826,0.9437,27800000,0.3184,1292,0.9563
7024,1.018,9913,0.6507,4.11E+09,0.2049,4288,2.196,4670,0.9469,1444000,0.5241,1527,0.7922
9845,0.6843,12810,0.5297,1.63E+08,0.2607,4487,2.394,5356,1.06,396900,0.859,1213,0.7615
7202,0.8888,12220,0.6607,4.49E+09,0.2373,4672,1.963,4951,0.918,829000,0.7368,1208,0.8829
8409,1.285,8747,0.6339,7.32E+09,0.2045,4267,2.126,4256,0.9657,214400,0.8674,1293,0.9222
