ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
138300000,0.5748,398.2,0.815,324.8,1.563,7575,0.5582,1.36E+08,0.7567,24.9,0.6696,1.529,0.6819
60430,9.911,1586000,8.835,77.28,2.351,7992,0.5845,501600,1.331,11.63,1.113,1.499,0.719
6.65E+09,1.762,68.96,7.426,993000,3.832,1150,0.6778,2.91E+09,1.165,15.26,0.9439,1.472,0.7121
2.06E+09,0.3595,7516,9.915,7352,1.329,507500,0.3667,1.74E+09,0.1607,31.06,0.6828,1.178,0.7592
1.27E+08,9.658,374,4.245,31740000,9.502,2231000,0.3197,1.74E+09,0.1607,70.48,0.4648,1.692,0.6838
3426000,5.599,4732,0.501,18900000,9.799,1464000,0.3043,1.74E+09,0.1607,51.38,0.4783,1.527,0.6052
1454,6.753,32490,6.905,82790000,7.583,1531000,0.3016,1.74E+09,0.1607,21.86,0.8142,1.357,0.6192
5.92E+09,6.126,46.79,5.056,6.74E+09,0.4983,13480000,0.3158,1.74E+09,0.1607,11.23,1.159,1.409,0.5341
1.11E+09,0.7626,57500000,2.289,481.4,5.685,1.29E+09,0.2129,1.74E+09,0.1607,10.53,1.205,1.38,0.6468
569100,5.228,9.524,7.821,20.97,8.108,1.29E+09,0.2129,1.74E+09,0.1607,61.96,0.4725,1.575,0.6084
190900,6.461,18980,7.63,204.4,5.473,1.29E+09,0.2129,5994000,0.2702,635.2,0.3087,1.5,0.5847
96080000,6.267,1.14E+09,7.369,193800000,7.476,1.29E+09,0.2129,5994000,0.2702,14.61,0.9389,1.589,0.5796
518.5,6.203,2086,5.874,8736,3.065,10170000,0.2853,5994000,0.2702,11.21,1.052,1.604,0.8132
2.07E+09,7.02,37.86,7.961,191000,1.894,24860000,0.2499,6739000,0.2437,24.38,0.6244,1.433,0.5911
809900000,8.613,9161000,0.264,133600000,8.719,11330000,0.2785,993400,0.2817,14.73,0.8483,1.785,0.6714
5196,2.507,9161000,0.264,1047000,8.981,43900000,0.2824,993400,0.2817,13.14,0.97,1.546,0.8186
1300000,3.734,567800000,0.2283,9142000,8.344,43900000,0.2824,440500,0.3191,13.54,0.9465,1.15,0.672
239700000,6.45,43.34,9.816,211600,8.063,34.41,2.016,440500,0.3191,26.04,0.6274,1.289,0.7049
9205000,6.732,239.6,4.351,416600,9.099,30.51,2.37,440500,0.3191,21.17,0.7109,1.459,0.7379
31300000,7.405,91.15,5.461,1134,3.852,24.22,3.051,2.50E+09,0.1412,24.5,0.6421,1.296,0.4783
1073,6.988,2.22E+09,1.018,34.74,2.705,24.22,3.051,2.50E+09,0.1412,13.26,0.8911,1.689,0.5487
932100000,2.806,31620000,9.464,166700,3.628,19.62,2.953,2.50E+09,0.1412,31.72,0.6911,1.372,0.6377
13610,4.938,2.24E+09,4.674,1.47E+09,7.361,27.97,2.454,2.50E+09,0.1412,20.58,0.7499,1.547,0.6072
139.7,4.832,78.15,2.071,3215000,9.299,77.27,1.83,4.82E+09,0.2039,15.58,0.9667,1.605,0.6975
15.94,8.662,447900,0.3404,3215000,9.299,78030,4.058,17.99,2.153,29.85,0.5187,1.198,0.6378
10.89,7.378,93700,2.335,8619000,4.549,9.916,8.863,34.12,1.569,31.48,0.5978,1.458,0.6097
119600,2.092,3.13E+09,7.42,443200,2.652,10.68,8.958,607.8,0.5958,16.7,0.7479,1.442,0.6367
1168000,2.112,36260000,6.191,27950,7.447,27670000,4.827,21.73,2.112,12.07,1.001,1.496,0.6857
107700000,4.98,5432000,5.569,15480,1.839,1211,0.7914,43.49,1.19,24.83,0.668,1.309,0.754
4.45E+09,4.318,2997000,0.5229,171200000,9.392,700600,0.7869,63.25,1.006,22.87,0.5983,1.443,0.7355
4.45E+09,4.318,4720000,2.947,110800000,1.902,614400000,0.237,164.6,0.873,25.01,0.7512,1.519,0.7647
627.4,5.218,1.10E+09,9.553,10140,6.111,2850,0.5949,3015,0.5126,12.39,0.9646,1.492,0.6684
24280,0.8273,2.54E+09,2.441,109000,1.436,5941,0.5567,3015,0.5126,11.04,1.027,1.511,0.5536
133300,4.533,8953000,4.54,12700000,5.148,174.9,1.092,77670000,0.3246,25.43,0.67,1.813,0.7534
282400,2.301,347.5,1.357,120900000,7.984,2641,0.6993,24460000,0.2539,28.64,0.7201,1.655,0.6475
370.4,8.826,7975000,2.201,136.4,9.875,2641,0.6993,31890000,0.2262,10.29,1.208,1.462,0.6174
63.4,2.459,13.36,8.604,2.81E+09,4.445,1.49E+09,0.2005,1063000,0.2644,10.74,1.105,1.655,0.5685
57.86,1.961,157.7,6.919,330800000,0.6115,1.49E+09,0.2005,173900,0.3048,14.61,0.7937,1.552,0.5878
1993000,1.563,2071,0.7341,198300000,0.896,1.49E+09,0.2005,173900,0.3048,105.4,0.4298,1.47,0.7752
2.71E+09,3.554,25.46,4.957,771700,4.777,1.18E+08,0.2446,231100,0.3013,243.5,0.3387,1.47,0.7335
2523000,0.3743,7269,7.285,937300,0.8333,13120000,0.3049,3.62E+09,6.161,276.2,0.3322,1.171,0.577
2523000,0.3743,9349,2.986,3.20E+09,7.816,23270000,0.302,2910,1.217,316.7,0.3057,1.269,0.5753
88400,1.101,211300000,2.31,1780000,0.7615,23270000,0.302,121400000,9.641,10.29,1.226,1.633,0.6237
54920000,0.9493,8.253,9.477,263000,6.813,8.40E+07,0.2354,7279000,9.346,14.79,0.9771,1.696,0.6094
1.58E+09,8.335,73900000,2.167,131100,4.52,1.07E+09,0.2007,47840000,5.661,10.76,0.9713,1.655,0.6637
12260,2.409,535.2,9.77,8661000,0.3189,1.07E+09,0.2007,693.3,9.39,21,0.8163,1.493,0.5819
64940,5.363,21870000,5.127,21,5.814,2212000,0.433,2742,9.235,27.32,0.6682,1.554,0.6116
18810,0.7013,18600000,0.2695,5.85E+09,0.9024,35720000,0.3047,172900000,3.777,13.85,0.8458,1.341,0.5625
469200,0.9411,16190,4.332,488300,8.943,536500000,0.217,307.6,8.642,24.56,0.7165,1.482,0.7015
578700000,0.2534,224500,9.196,211000,0.4574,9719,0.5179,296.1,5.677,18.95,0.7965,1.229,0.6044
578700000,0.2534,621.8,2.177,467900,5.269,1121,0.7045,10.47,4.891,16.73,0.9173,1.453,0.4989
578700000,0.2534,2.11E+09,0.7319,38600,9.095,2119,0.6153,13.63,3.641,13.06,0.903,1.412,0.6331
578700000,0.2534,25.32,7.471,2410,1.203,755.3,0.7709,22.15,4.274,11.35,0.9171,1.342,0.6039
578700000,0.2534,444100,3.352,55040,4.021,845.5,0.7809,81.21,1.333,14.85,0.7908,1.301,0.6496
1.22E+09,0.291,809.6,2.795,3.15E+09,4.564,2710,0.7184,3022000,6.866,24.11,0.685,1.385,0.495
137900000,0.3771,1.44E+08,8.152,1.07E+09,4.777,11700,0.524,406700000,6.055,40.52,0.5907,1.405,0.6459
6919000,7.893,1062000,3.271,7598,7.578,33.94,2.303,6662000,2.623,53.51,0.5,1.449,0.6759
89790000,4.794,262.4,0.9279,1.43E+09,6.697,41.58,2.13,848800,2.682,29.8,0.5649,1.384,0.7536
95840000,4.765,262.4,0.9279,24940000,5.872,38.08,2.165,362500,9.751,37.62,0.5722,1.609,0.8227
244.4,5.076,1451,1.159,4441000,5.424,24.22,2.356,145.1,8.883,24.37,0.6565,1.625,0.6119
138.6,1.226,8.86E+09,5.299,1.57E+09,7.938,20.21,2.577,883.2,8.83,13.71,0.9407,1.565,0.6858
59.93,1.85,1246000,4.754,472,4.394,1450,0.7208,5191000,5.291,17.57,0.8145,1.734,0.5327
41.84,2.193,13.97,8.952,8.67E+09,3.866,1450,0.7208,2.65E+08,9.25,100.5,0.4368,1.872,0.664
19160,3.758,4193,0.6465,3357000,0.3544,57.66,1.393,2.27E+09,6.337,17.51,0.8219,1.483,0.7314
160.8,4.301,3439,0.4929,340.1,9.103,55590,0.454,956700000,6.315,82.29,0.3932,1.674,0.6962
273700000,0.4066,218600,0.9003,35450,5.7,195.6,1.153,898.2,8.459,58.62,0.5091,1.88,0.575
1770000,0.456,10.78,6.851,41.37,8.284,160.3,1.258,785100000,6.577,18.42,0.7096,1.561,0.7583
1770000,0.456,8.642,7.486,14550000,5.461,2697,0.756,55.62,1.578,9.39,1.039,1.229,0.5455
5294000,0.4483,139.7,6.573,273200,3.037,85.55,1.361,9.18E+09,9.789,11.63,1.009,1.426,0.6415
1172000,5.436,20.93,4.181,347500000,8.124,342.1,1.018,47.67,7.701,10.92,1.153,1.329,0.5942
13200,1.128,73040000,0.5449,745.1,3.949,189,0.9959,2647,5.289,21.03,0.7992,1.579,0.6328
82610,2.926,675900,3.835,421.9,7.466,273.4,1.008,2904,5.608,26,0.6408,1.31,0.6343
1858,4.992,26.07,9.658,40630,5.561,273.4,1.008,38.48,5.899,15.1,0.8599,1.297,0.6277
2.07E+09,2,45.33,3.653,266.2,1.59,3478,0.6074,9.773,5.928,20.6,0.7626,1.47,0.6131
49240000,3.088,7701,9.058,5755,0.75,205400,0.4272,35490000,5.785,26.01,0.7004,1.4,0.5995
14640000,9.919,34.93,1.336,165100,2.469,949200,0.3032,195.8,4.417,16.2,0.8669,1.448,0.5581
69470,4.947,627.7,2.67,21.38,9.794,864000,0.3289,182600000,4.623,15.97,0.9471,1.509,0.6495
26.62,6.348,130.4,1.744,3.70E+09,5.755,3651000,0.3111,49520000,0.4738,12.31,1.133,1.487,0.6778
2.33E+09,3.894,17040,0.5357,511,1.807,3651000,0.3111,392700000,1.065,15.58,0.8997,1.682,0.6074
32320000,5.27,38.74,4.659,48.09,3.347,3651000,0.3111,41350000,0.2198,23.44,0.7135,1.396,0.6725
9612000,3.777,16370,8.356,1283,9.542,710400,0.3594,113.8,1.555,21.3,0.6462,1.563,0.6548
78430000,6.389,2324,0.7612,198100000,5.026,1161000,0.3993,43.59,1.895,29.88,0.65,1.449,0.5139
3.35E+08,4.987,11670,5.129,1.43E+09,9.284,1713,0.8335,1197,0.7283,12.95,0.9676,1.477,0.614
36.07,2.531,235500000,3.534,194900,7.274,3227,0.8228,87.27,1.236,11.08,0.9992,1.359,0.5465
36.07,2.531,388.3,6.906,3.25E+09,0.3251,2.16E+08,0.4662,7519000,9.862,16.37,0.8484,1.455,0.7086
76.49,1.827,965900000,4.233,8338000,7.506,463900,0.3811,27130000,8.952,49.71,0.5251,1.511,0.6004
817.9,1.141,24.94,6.324,2841000,7.977,15700000,0.2697,8349,4.747,42.04,0.5412,1.621,0.6285
3561000,6.225,195.1,1.717,63.69,2.812,10400000,0.2886,20240000,0.9332,22.12,0.816,1.736,0.6888
36030,8.054,74.81,3.657,16820,8.864,10400000,0.2886,92440000,0.1751,11.54,1.067,1.508,0.6848
7061,5.578,298800000,5.102,322.7,8.219,6128000,0.3093,92440000,0.1751,13.33,0.9757,1.263,0.5365
