ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
21610,0.7239,59850,3.381,183900,0.9244,34940,1.697,18110,1.034,21500000,1.802,1352,1.119
24500,0.6431,168000,1.763,188800,0.9222,29920,2.756,20290,0.8538,34480000,5.812,1699,0.9827
31420,0.7723,414500,1.158,101900,1.234,23790,8.011,21920,0.8723,236200,8.921,1079,0.9607
17710,0.737,376100,1.254,447800,0.6664,23190,9.258,18380,0.9762,292900000,6.782,1652,1.022
19450,0.8974,562600,1.066,1310000,0.5512,54660,0.8828,16140,1.03,82170,4.189,1145,0.8716
20230,0.7277,562600,1.066,1463000,0.525,76890,0.8477,19510,1.054,426300,1.571,1255,0.8021
51110,0.5277,479400,1.16,1339000,0.539,54890,1.392,17040,1.18,731300,7.928,1737,1.01
15990,0.9077,292700,1.428,590400,0.622,71530,0.8116,21290,1.512,4531000,6.643,1727,1.034
20200,0.8974,235900,1.411,557200,0.6128,49880,1.588,16630,0.9749,541200,1.219,1606,0.9047
26260,0.8178,217400,1.488,3392000,0.4773,52800,1.07,20780,1.042,413000,1.152,1326,0.9041
27630,0.6532,47280,4.134,1700000,0.5642,84930,0.7715,20520,0.8382,117700,2.189,1295,0.6892
30560,0.6221,47080,3.871,10200000,0.4049,60620,0.8007,21810,0.9857,92900,3.097,1980,0.8509
21190,0.8546,47080,3.871,1564000,0.5141,144800,0.4764,18140,1.034,61860,4.338,1493,0.8661
22120,0.7832,47080,3.871,203000,0.9134,27290,4.795,17080,0.9209,42100,5.654,1477,0.8526
30840,0.6419,72920,2.534,435200,0.7045,72450,0.8762,19180,0.994,31150000,8.913,1495,1.01
21240,0.7985,66130,2.971,355100,0.7391,58850,0.9636,24810,0.9448,39750,5.724,1353,0.8194
22120,0.7212,126200,2.014,404100,0.7402,31460,2.478,24630,0.9303,484500,2.117,1981,1.244
25140,0.679,133800,1.774,449300,0.6975,29290,3.739,25610,1.027,214700,1.409,1899,0.9976
16880,0.754,107100,2.087,296400,0.8086,32880,2.292,27210,0.8922,34400,9.5,1943,0.8208
22850,0.7636,124700,2.031,1010000,0.6572,23100,5.986,15510,1.008,29200,9.061,1444,0.7149
44830,0.5213,59890,3.346,10400000,0.3955,27170,4.143,18780,0.8834,574000,6.71,1477,1.036
25710,0.6959,138100,1.622,4931000,0.4183,50860,1.036,18200,1.174,80750,8.509,1578,0.9711
21730,0.6254,500200,1.025,368100,0.7405,40600,2.39,17550,1.215,34600,7.776,1745,0.6891
21710,0.8543,671600,1.047,479200,0.713,140600,0.7219,16610,1.128,34600,7.776,1643,1.085
21770,0.7091,973700,0.9321,1389000,0.525,212700,0.5637,16920,1.223,192700,6.695,1142,0.8647
23810,0.674,973700,0.9321,528600,0.699,226500,0.5734,16050,1.007,2.53E+09,0.363,2131,1.024
21610,0.7751,105000,2.044,294300,0.7663,25060,7.284,19150,1.059,2.53E+09,0.363,1838,0.98
28720,0.6579,133300,1.969,742500,0.6134,45280,1.294,20480,0.9415,65870,3.029,1452,0.7637
21310,0.8084,68950,2.705,444300,0.7395,40330,1.64,16510,1.344,30550000,2.273,1473,1.561
